current_filename,full_path,old_filename,proposed_date,current_exif_date,directory,dir_year,file_modified,confidence,reasoning,date_differs,update_reason
IMG_20230730_153330.heic,/Volumes/photo-1/2023/2023/IMG_20230730_153330.heic,IMG20230730_153330.heic,2023-07-30 15:33:30,NONE,2023/2023,2023,2023-07-30T15:33:30.336000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230730_174808.heic,/Volumes/photo-1/2023/2023/IMG_20230730_174808.heic,IMG20230730_174808.heic,2023-07-30 17:48:08,NONE,2023/2023,2023,2023-07-30T17:48:08.949000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230731_193633.heic,/Volumes/photo-1/2023/2023/IMG_20230731_193633.heic,IMG_20230731_193633.HEIC,2023-07-31 19:36:33,NONE,2023/2023,2023,2023-07-31T19:36:33,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230731_193633_1.heic,/Volumes/photo-1/2023/2023/IMG_20230731_193633_1.heic,IMG20230731_193633.heic,2023-07-31 19:36:33,NONE,2023/2023,2023,2023-07-31T19:36:33.707000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230801_201625.heic,/Volumes/photo-1/2023/2023/IMG_20230801_201625.heic,IMG20230801_201625.heic,2023-08-01 20:16:25,NONE,2023/2023,2023,2023-08-01T20:16:25.158000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230801_201642.heic,/Volumes/photo-1/2023/2023/IMG_20230801_201642.heic,IMG20230801_201642.heic,2023-08-01 20:16:42,NONE,2023/2023,2023,2023-08-01T20:16:42,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230801_201643.heic,/Volumes/photo-1/2023/2023/IMG_20230801_201643.heic,IMG20230801_201643.heic,2023-08-01 20:16:43,NONE,2023/2023,2023,2023-08-01T20:16:43.400000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230801_201700.heic,/Volumes/photo-1/2023/2023/IMG_20230801_201700.heic,IMG20230801_201700.heic,2023-08-01 20:17:00,NONE,2023/2023,2023,2023-08-01T20:17:00.541000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230801_201702.heic,/Volumes/photo-1/2023/2023/IMG_20230801_201702.heic,IMG20230801_201702.heic,2023-08-01 20:17:02,NONE,2023/2023,2023,2023-08-01T20:17:02.453000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230802_190418.heic,/Volumes/photo-1/2023/2023/IMG_20230802_190418.heic,IMG20230802_190418.heic,2023-08-02 19:04:18,NONE,2023/2023,2023,2023-08-02T19:04:18.666000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230802_190427.heic,/Volumes/photo-1/2023/2023/IMG_20230802_190427.heic,IMG20230802_190427.heic,2023-08-02 19:04:27,NONE,2023/2023,2023,2023-08-02T19:04:27.767000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230802_211405.heic,/Volumes/photo-1/2023/2023/IMG_20230802_211405.heic,IMG20230802_211405.heic,2023-08-02 21:14:05,NONE,2023/2023,2023,2023-08-02T21:14:05.640000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230803_103256.heic,/Volumes/photo-1/2023/2023/IMG_20230803_103256.heic,IMG_20230803_103256.HEIC,2023-08-03 10:32:56,NONE,2023/2023,2023,2023-08-03T10:32:56.310000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_102100.heic,/Volumes/photo-1/2023/2023/IMG_20230805_102100.heic,IMG_20230805_102100.HEIC,2023-08-05 10:21:00,NONE,2023/2023,2023,2023-08-05T10:21:00,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_102100_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_102100_1.heic,IMG20230805_102100.heic,2023-08-05 10:21:00,NONE,2023/2023,2023,2023-08-05T10:21:00.905000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_102105.heic,/Volumes/photo-1/2023/2023/IMG_20230805_102105.heic,IMG_20230805_102105.HEIC,2023-08-05 10:21:05,NONE,2023/2023,2023,2023-08-05T10:21:05,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_102105_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_102105_1.heic,IMG20230805_102105.heic,2023-08-05 10:21:05,NONE,2023/2023,2023,2023-08-05T10:21:05.671000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_102443.heic,/Volumes/photo-1/2023/2023/IMG_20230805_102443.heic,IMG_20230805_102443.HEIC,2023-08-05 10:24:43,NONE,2023/2023,2023,2023-08-05T10:24:43,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_102443_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_102443_1.heic,IMG20230805_102443.heic,2023-08-05 10:24:43,NONE,2023/2023,2023,2023-08-05T10:24:43.385000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_103116.heic,/Volumes/photo-1/2023/2023/IMG_20230805_103116.heic,IMG_20230805_103116.HEIC,2023-08-05 10:31:16,NONE,2023/2023,2023,2023-08-05T10:31:16,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_103116_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_103116_1.heic,IMG20230805_103116.heic,2023-08-05 10:31:16,NONE,2023/2023,2023,2023-08-05T10:31:16.819000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_103119.heic,/Volumes/photo-1/2023/2023/IMG_20230805_103119.heic,IMG_20230805_103119.HEIC,2023-08-05 10:31:19,NONE,2023/2023,2023,2023-08-05T10:31:19,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_103119_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_103119_1.heic,IMG20230805_103119.heic,2023-08-05 10:31:19,NONE,2023/2023,2023,2023-08-05T10:31:19.979000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_105540.heic,/Volumes/photo-1/2023/2023/IMG_20230805_105540.heic,IMG_20230805_105540.HEIC,2023-08-05 10:55:40,NONE,2023/2023,2023,2023-08-05T10:55:40,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_105540_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_105540_1.heic,IMG20230805_105540.heic,2023-08-05 10:55:40,NONE,2023/2023,2023,2023-08-05T10:55:40.707000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_105541.heic,/Volumes/photo-1/2023/2023/IMG_20230805_105541.heic,IMG_20230805_105541.HEIC,2023-08-05 10:55:41,NONE,2023/2023,2023,2023-08-05T10:55:41,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_105541_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_105541_1.heic,IMG20230805_105541.heic,2023-08-05 10:55:41,NONE,2023/2023,2023,2023-08-05T10:55:41.872000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_111537.heic,/Volumes/photo-1/2023/2023/IMG_20230805_111537.heic,IMG_20230805_111537.HEIC,2023-08-05 11:15:37,NONE,2023/2023,2023,2023-08-05T11:15:37,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_111537_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_111537_1.heic,IMG20230805_111537.heic,2023-08-05 11:15:37,NONE,2023/2023,2023,2023-08-05T11:15:37.389000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_111538.heic,/Volumes/photo-1/2023/2023/IMG_20230805_111538.heic,IMG_20230805_111538.HEIC,2023-08-05 11:15:38,NONE,2023/2023,2023,2023-08-05T11:15:38,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_111538_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_111538_1.heic,IMG20230805_111538.heic,2023-08-05 11:15:38,NONE,2023/2023,2023,2023-08-05T11:15:38.760000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_112750.heic,/Volumes/photo-1/2023/2023/IMG_20230805_112750.heic,IMG_20230805_112750.HEIC,2023-08-05 11:27:50,NONE,2023/2023,2023,2023-08-05T11:27:50,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_112750_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_112750_1.heic,IMG20230805_112750.heic,2023-08-05 11:27:50,NONE,2023/2023,2023,2023-08-05T11:27:50.324000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_112752.heic,/Volumes/photo-1/2023/2023/IMG_20230805_112752.heic,IMG_20230805_112752.HEIC,2023-08-05 11:27:52,NONE,2023/2023,2023,2023-08-05T11:27:52,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_112752_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_112752_1.heic,IMG20230805_112752.heic,2023-08-05 11:27:52,NONE,2023/2023,2023,2023-08-05T11:27:52.864000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_112758.heic,/Volumes/photo-1/2023/2023/IMG_20230805_112758.heic,IMG_20230805_112758.HEIC,2023-08-05 11:27:58,NONE,2023/2023,2023,2023-08-05T11:27:58,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_112758_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_112758_1.heic,IMG20230805_112758.heic,2023-08-05 11:27:58,NONE,2023/2023,2023,2023-08-05T11:27:58.591000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_114606.heic,/Volumes/photo-1/2023/2023/IMG_20230805_114606.heic,IMG_20230805_114606.HEIC,2023-08-05 11:46:06,NONE,2023/2023,2023,2023-08-05T11:46:06,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_114606_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_114606_1.heic,IMG20230805_114606.heic,2023-08-05 11:46:06,NONE,2023/2023,2023,2023-08-05T11:46:06.908000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_114610.heic,/Volumes/photo-1/2023/2023/IMG_20230805_114610.heic,IMG_20230805_114610.HEIC,2023-08-05 11:46:10,NONE,2023/2023,2023,2023-08-05T11:46:10,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_114610_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_114610_1.heic,IMG20230805_114610.heic,2023-08-05 11:46:10,NONE,2023/2023,2023,2023-08-05T11:46:10.048000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_114615.heic,/Volumes/photo-1/2023/2023/IMG_20230805_114615.heic,IMG_20230805_114615.HEIC,2023-08-05 11:46:15,NONE,2023/2023,2023,2023-08-05T11:46:15,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_114615_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_114615_1.heic,IMG20230805_114615.heic,2023-08-05 11:46:15,NONE,2023/2023,2023,2023-08-05T11:46:15.528000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_114622.heic,/Volumes/photo-1/2023/2023/IMG_20230805_114622.heic,IMG_20230805_114622.HEIC,2023-08-05 11:46:22,NONE,2023/2023,2023,2023-08-05T11:46:22,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230805_114622_1.heic,/Volumes/photo-1/2023/2023/IMG_20230805_114622_1.heic,IMG20230805_114622.heic,2023-08-05 11:46:22,NONE,2023/2023,2023,2023-08-05T11:46:22.201000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230806_141641.heic,/Volumes/photo-1/2023/2023/IMG_20230806_141641.heic,IMG_20230806_141641.HEIC,2023-08-06 14:16:41,NONE,2023/2023,2023,2023-08-06T14:16:41,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230806_141641_1.heic,/Volumes/photo-1/2023/2023/IMG_20230806_141641_1.heic,IMG20230806_141641.heic,2023-08-06 14:16:41,NONE,2023/2023,2023,2023-08-06T14:16:41.276000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230806_141647.heic,/Volumes/photo-1/2023/2023/IMG_20230806_141647.heic,IMG_20230806_141647.HEIC,2023-08-06 14:16:47,NONE,2023/2023,2023,2023-08-06T14:16:47,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
